"Refs","Value","Footprint","Qty","DNP"
"F1-F6","3557-2","_PS_LIB_CON:Fuse Holder Littelfuse ATOF 287","6",""
"J1-J4","MKDS_3-3_5.08","_PS_LIB_CON:MKDS_3_3_508","4",""
