"Reference","QUANTITY","Value","Footprint","LCSC","Digikey","Mouser"
"F1-F6","6","3557-2","_PS_LIB_CON:Fuse Holder Littelfuse ATOF 287","","36-3557-2-ND",""
"J1-J4","4","MKDS_3-3_5.08","_PS_LIB_CON:MKDS_3_3_508","","277-1028-ND",""
